trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
92,False,"{'e': 0.15588307481006441, 'a': 0.5}",30,18,17.75327516519578,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'e': 0.15276541331386312, 'a': 0.5}",25,13,16.09976600741694,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'e': 0.14971010504758586, 'a': 0.5}",30,22,15.973895639483576,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'e': 0.14671590294663414, 'a': 0.5}",25,14,10.6238236609097,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'e': 0.14378158488770146, 'a': 0.5}",25,3,-25.830231576935628,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
97,False,"{'e': 0.14090595318994742, 'a': 0.5}",20,14,11.699669852813159,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'e': 0.13808783412614847, 'a': 0.5}",20,12,14.313028705418567,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'e': 0.13532607744362551, 'a': 0.5}",25,9,1.3669911249810416,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
100,False,"{'e': 0.132619555894753, 'a': 0.5}",30,16,3.7912550284836763,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
101,False,"{'e': 0.12996716477685794, 'a': 0.5}",25,6,-10.920617076358758,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
102,False,"{'e': 0.12736782148132078, 'a': 0.5}",20,14,12.440822173201433,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'e': 0.12482046505169436, 'a': 0.5}",25,3,-11.597338287755731,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
104,False,"{'e': 0.12232405575066048, 'a': 0.5}",25,0,27.71165221822264,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
105,False,"{'e': 0.11987757463564727, 'a': 0.5}",20,16,7.651632934091476,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'e': 0.11748002314293432, 'a': 0.5}",25,8,32.67659490567586,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'e': 0.11513042268007563, 'a': 0.5}",25,10,25.288652928001387,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'e': 0.11282781422647412, 'a': 0.5}",20,6,28.561172032043565,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'e': 0.11057125794194463, 'a': 0.5}",25,14,20.22120881354464,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'e': 0.10835983278310574, 'a': 0.5}",25,11,14.89088072347612,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'e': 0.10619263612744362, 'a': 0.5}",25,13,3.3870425317965647,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
112,False,"{'e': 0.10406878340489474, 'a': 0.5}",20,0,30.277080109353307,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
113,False,"{'e': 0.10198740773679685, 'a': 0.5}",30,13,7.867245830974078,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
114,False,"{'e': 0.09994765958206091, 'a': 0.5}",25,16,18.041259268184543,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'e': 0.0979487063904197, 'a': 0.5}",25,15,-1.0429847233444087,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
116,False,"{'e': 0.0959897322626113, 'a': 0.5}",20,7,29.0765644024627,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'e': 0.09406993761735907, 'a': 0.5}",25,4,31.220593549545175,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'e': 0.0921885388650119, 'a': 0.5}",20,15,0.8486877881939576,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'e': 0.09034476808771166, 'a': 0.5}",25,13,-24.246527091129106,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
120,False,"{'e': 0.08853787272595742, 'a': 0.5}",20,5,24.695099794390153,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'e': 0.08676711527143827, 'a': 0.5}",30,0,45.21194239217025,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
122,False,"{'e': 0.0850317729660095, 'a': 0.5}",25,11,-25.789678767094642,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
123,False,"{'e': 0.08333113750668932, 'a': 0.5}",20,16,4.792259239939298,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'e': 0.08166451475655553, 'a': 0.5}",20,1,0.8301276613957083,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
125,False,"{'e': 0.08003122446142442, 'a': 0.5}",30,15,-15.818539705677312,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'e': 0.07843059997219594, 'a': 0.5}",30,15,27.420089074495987,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'e': 0.07686198797275202, 'a': 0.5}",30,22,6.788744353955035,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
128,False,"{'e': 0.07532474821329699, 'a': 0.5}",20,14,10.340681002132985,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'e': 0.07381825324903105, 'a': 0.5}",20,5,15.392488382868853,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'e': 0.07234188818405042, 'a': 0.5}",20,7,18.81069933687441,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'e': 0.07089505042036941, 'a': 0.5}",20,15,10.77280762052284,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'e': 0.06947714941196202, 'a': 0.5}",20,6,9.168428335182051,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'e': 0.06808760642372277, 'a': 0.5}",30,17,24.773500172200237,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'e': 0.06672585429524831, 'a': 0.5}",20,9,-26.83564957873113,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
135,False,"{'e': 0.06539133720934334, 'a': 0.5}",25,14,16.70714606665865,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'e': 0.06408351046515648, 'a': 0.5}",20,0,31.25011173817128,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'e': 0.06280184025585335, 'a': 0.5}",25,11,14.781815031846206,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'e': 0.061545803450736285, 'a': 0.5}",20,12,8.075704491209224,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'e': 0.060314887381721555, 'a': 0.5}",25,14,14.43715602896487,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'e': 0.05910858963408712, 'a': 0.5}",20,9,20.436064646064565,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'e': 0.05792641784140538, 'a': 0.5}",30,16,26.781187418335925,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'e': 0.05676788948457727, 'a': 0.5}",20,10,-3.1423044698372324,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
143,False,"{'e': 0.055632531694885724, 'a': 0.5}",30,16,28.978801135583957,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'e': 0.054519881060988006, 'a': 0.5}",25,20,10.265879802701926,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'e': 0.05342948343976824, 'a': 0.5}",20,8,20.415626667614454,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'e': 0.052360893770972874, 'a': 0.5}",25,8,-23.235844698968137,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
147,False,"{'e': 0.05131367589555342, 'a': 0.5}",25,11,27.52846415730609,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'e': 0.05028740237764235, 'a': 0.5}",25,7,20.013850679313883,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'e': 0.0492816543300895, 'a': 0.5}",25,15,17.932978948603285,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0.0, 'a': 0.0}",30,19,20.742685027269694,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0.0, 'a': 0.0}",30,18,24.609865522401947,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0.0, 'a': 0.0}",25,18,10.135931795711377,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'e': 0.0, 'a': 0.0}",25,17,16.854920186363504,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0.0, 'a': 0.0}",30,12,32.12740545702778,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'e': 0.0, 'a': 0.0}",25,15,17.589389070838767,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0.0, 'a': 0.0}",20,15,10.35277510457044,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0.0, 'a': 0.0}",20,8,20.28895618803533,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0.0, 'a': 0.0}",25,1,36.89810112057002,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0.0, 'a': 0.0}",20,11,17.16850423142614,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
